COUNTRY_SHORT_NAME,COUNTRY_ALPHA_3_CODE,lat,lng,pop
India,Calicut,11.25,75.7667,431560
India,Akola,20.7333,77,425817
India,Bhāgalpur,25.25,87.0167,410210
India,Sīkar,27.6119,75.1397,237579
India,Tumkūr,13.33,77.1,307359
India,Quilon,8.8853,76.5864,397419
India,Muzaffarnagar,29.4708,77.7033,392451
India,Bhīlwāra,25.35,74.6333,326431
India,Nizāmābād,18.6704,78.1,305438
India,Bhātpāra,22.8667,88.4167,386019
India,Kākināda,16.9333,82.2167,384182
India,Parbhani,19.2704,76.76,289629
India,Pānihāti,22.69,88.37,377347
India,Lātūr,18.4004,76.57,348967
India,Rohtak,28.9,76.5667,374292
India,Rājapālaiyam,9.4204,77.58,307959
India,Ahmadnagar,19.0833,74.7333,350859
India,Cuddapah,14.4667,78.8167,344893
India,Rājahmundry,16.9833,81.7833,341831
India,Alwar,27.5667,76.6167,341422
India,Muzaffarpur,26.12,85.3833,333200
India,Bilāspur,22.15,82.0167,331030
India,Mathura,27.4833,77.6833,330511
India,Kāmārhāti,22.67,88.37,330211
India,Patiāla,30.3204,76.385,329224
India,Saugor,23.8504,78.75,247333
India,Bijāpur,16.8244,75.7154,327427
India,Brahmapur,19.32,84.8,324726
India,Shāhjānpur,27.8804,79.905,320434
India,Trichūr,10.52,76.21,315596
India,Barddhamān,23.25,87.85,314265
India,Kulti,23.73,86.85,313809
India,Sambalpur,21.4704,83.9701,162887
India,Purnea,25.78,87.47,310817
India,Hisar,29.1489,75.7367,307024
India,Fīrozābād,27.15,78.3949,306409
India,Bīdar,17.9229,77.5175,204071
India,Rāmpur,28.8154,79.025,296418
India,Shiliguri,26.72,88.42,294546
India,Bāli,22.65,88.34,293373
India,Pānīpat,29.4004,76.97,292808
India,Karīmnagar,18.4333,79.15,289821
India,Bhuj,23.2504,69.81,289429
India,Ichalkaranji,16.7,74.47,287570
India,Tirupati,13.65,79.42,287482
India,Hospet,15.2667,76.4,197846
India,Āīzawl,23.7104,92.72,265331
India,Sannai,24.16,80.83,283004
India,Bārāsat,22.2333,88.45,278435
India,Ratlām,23.3167,75.0667,273892
India,Handwāra,34.4,74.28,269311
India,Drug,21.19,81.28,268806
India,Imphāl,24.82,93.95,268243
India,Anantapur,14.6833,77.6,267161
India,Etāwah,26.7855,79.015,257448
India,Rāichūr,16.2104,77.355,225962
India,Ongole,15.5,80.05,252739
India,Bharatpur,27.2172,77.49,252342
India,Begusarai,25.42,86.13,252008
India,Sonīpat,28.9958,77.0114,250521
India,Rāmgundam,18.8,79.45,242979
India,Hāpur,28.7437,77.7628,242920
India,Uluberiya,22.47,88.11,235345
India,Porbandar,21.6425,69.6047,138872
India,Pāli,25.7725,73.3233,229956
India,Vizianagaram,18.1167,83.4167,228720
India,Puducherry,11.93,79.83,227411
India,Karnāl,29.6804,76.97,225049
India,Nāgercoil,8.17,77.43,213858
India,Tanjore,10.8,79.15,222943
India,Sambhal,28.58,78.55,220813
India,Shimla,31.1033,77.1722,206575
India,Ghāndīnagar,23.22,72.68,195891
India,Shillong,25.5744,91.8789,143229
India,New Delhi,28.7,77.2,142004
India,Port Blair,11.6667,92.75,112050
India,Gangtok,27.33,88.62,100286
India,Kohīma,25.6667,94.1194,99039
India,Itānagar,27.1,93.62,59490
India,Panaji,15.48,73.83,40017
India,Damān,20.417,72.85,39737
India,Kavaratti,10.5626,72.6369,10688
